timestamp,x,y,z,roll,pitch,yaw
1757789218517664512.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218544922368.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218567409408.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218595033856.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218622201856.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218644876800.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218672110848.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218689116672.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218716891136.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218744726784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218772041984.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218794836992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218822023936.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218844884992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218867521792.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218895852544.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218917230080.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218944618752.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218971798016.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789218994008064.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219021472000.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219043189504.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219070691072.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219097282816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219120451584.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219147186176.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219169865984.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219196717056.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219218612480.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219246034688.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219268272384.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219295768832.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219317139456.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219344972032.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219371720448.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219393906944.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219421088256.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219442941952.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219470807040.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219492267008.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219520394752.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219542311424.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219570272000.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219597115904.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219619927808.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219646990592.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219670312192.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219692595456.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219720563456.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219742783488.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219770549248.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219797430016.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219820307200.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219842131200.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219869618432.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219896390400.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219918040576.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219945779456.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219967558656.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789219995374848.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220022214144.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220044453888.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220071670528.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220094772736.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220121366784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220142789632.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220170383104.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220197094144.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220219654656.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220247216384.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220269354496.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220296610816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220319205888.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220346128128.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220367929856.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220396269568.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220417865728.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220445366272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220467278336.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220494760448.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220521516544.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220543668480.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220571158272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220593099520.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220620804352.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220643408128.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220671248640.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220693378304.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220721805568.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220744269312.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220771804160.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220794279680.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220821948160.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220844869120.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220872356352.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220895060224.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220916963072.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220945308416.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220967337472.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789220995450368.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221017343232.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221045401344.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221067264512.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221095056384.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221117245440.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221146636288.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221169167872.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221196924416.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221220230656.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221242262784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221269728000.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221296895488.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221319300352.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221346466816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221369030400.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221396754176.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221418937344.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221446342400.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221468283904.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221496664064.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221519337728.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221546473472.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221568769024.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221596519680.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221618652416.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221646545408.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221669441280.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221697032192.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221720099840.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221742546688.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221770665728.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221792170496.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221820583424.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221842241280.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221870246400.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221897031424.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221919421696.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221946887168.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221969437184.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789221996552192.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222018738688.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222046002432.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222068133376.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222096241664.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222117981696.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222145875968.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222168080640.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222195985152.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222217681152.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222245646336.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222267650816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222295320576.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222317068800.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222345343232.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222367187712.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222394888704.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222422002176.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222444355328.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222471382784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222492786176.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222521340416.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222543227904.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222570808832.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222592628992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222620707328.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222642490880.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222670425600.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222692374272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222720456960.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222742443008.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222770224384.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222792182272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222820209408.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222842232064.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222870146816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222892081408.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222919586816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222946925056.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222969155584.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789222996593408.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223018945024.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223046527488.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223069017088.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223096405760.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223118342144.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223146459648.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223168963072.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223196382464.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223218179328.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223245887744.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223267712512.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223295929344.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223318003456.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223345750272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223367599616.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223395582208.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223417442816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223445704192.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223467541248.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223495592448.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223517659392.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223545812480.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223567741440.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223596186880.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223619036928.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223646488832.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223668798720.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223696368640.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223718077184.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223745661952.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223767915264.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223796369664.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223818228992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223845534720.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223867862784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223895950336.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223917842688.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223945829120.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223967832576.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789223995573504.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224017144832.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224044897792.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224072208896.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224094751744.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224116736512.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224146645760.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224169048832.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224196387328.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224217977600.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224245591552.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224267709952.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224296756992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224319798016.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224347290368.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224370958592.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224392755200.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224420495616.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224442688000.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224470123008.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224497136128.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224520100352.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224542298880.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224570288896.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224592118272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224620627200.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224642862336.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224670704640.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224692661760.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224720290048.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224742166272.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224770236672.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224797362176.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224819782400.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224847298816.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224869568000.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224896967168.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224919844352.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224947133184.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224969568512.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789224996931328.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225019070208.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225046408192.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225068309248.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225096219136.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225118042880.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225145985024.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225167691776.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225196262656.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225218072064.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225245963520.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225267786240.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225295638784.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225317481728.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225345884416.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225367730944.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225395353344.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225417166848.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225445199872.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225467140096.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225497107712.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225520554496.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225542804992.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225570410496.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225592460288.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225620547840.000,0.333,0.013,0.000,0.000,0.000,0.056
1757789225642586880.000,0.333,0.013,0.000,0.000,0.000,0.056
